Name,Brand,Categories,PrimaryCategories,Reviews.Date,Reviews.Text,Reviews.Title,Sentiment,Full_Review,Sentiment_Score,Sentiment_Category
Chairs Samsung,Samsung,Furniture,Chairs,2024-08-14,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.37,Negative
Smart Devices Amazon,Amazon,Electronics,Smart Devices,2024-04-11,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.19,Negative
Tables Amazon,Amazon,Furniture,Tables,2024-02-04,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.73,Positive
Earphones Apple,Apple,Audio,Earphones,2024-05-31,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.96,Positive
Accessories Dell,Dell,Computers,Accessories,2024-07-13,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.5,Neutral
Beds LG,LG,Furniture,Beds,2024-01-23,It's fine.,Average,Neutral,It's fine. Average,0.56,Neutral
Smart Devices ASUS,ASUS,Electronics,Smart Devices,2024-05-13,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.72,Positive
Gaming Sony,Sony,Computers,Gaming,2024-11-23,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.87,Positive
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-02-23,It's fine.,It's okay,Neutral,It's fine. It's okay,0.66,Neutral
Beds ASUS,ASUS,Furniture,Beds,2024-02-25,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.64,Neutral
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-05-03,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.68,Neutral
Gaming Sony,Sony,Computers,Gaming,2024-10-11,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.44,Neutral
Phones LG,LG,Electronics,Phones,2024-03-07,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.99,Positive
Tables Bose,Bose,Furniture,Tables,2024-07-25,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.42,Neutral
Laptops Amazon,Amazon,Computers,Laptops,2024-03-24,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.74,Positive
Chairs Samsung,Samsung,Furniture,Chairs,2024-11-07,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.98,Positive
Accessories Sony,Sony,Computers,Accessories,2024-01-21,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.98,Positive
Gaming Bose,Bose,Computers,Gaming,2024-03-18,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.77,Positive
Earphones Sony,Sony,Audio,Earphones,2024-11-01,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.6,Neutral
Chairs Samsung,Samsung,Furniture,Chairs,2024-04-20,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.98,Positive
Laundry Bose,Bose,Appliances,Laundry,2024-08-21,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.83,Positive
Cleaning Sony,Sony,Appliances,Cleaning,2024-11-23,It's fine.,Average,Neutral,It's fine. Average,0.49,Neutral
Speakers HP,HP,Audio,Speakers,2024-09-17,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.29,Negative
Chairs Bose,Bose,Furniture,Chairs,2024-06-15,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.68,Neutral
Laundry Samsung,Samsung,Appliances,Laundry,2024-04-17,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.53,Neutral
Chairs Sony,Sony,Furniture,Chairs,2024-10-10,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.9,Positive
Cameras Apple,Apple,Electronics,Cameras,2024-07-29,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.52,Neutral
Accessories Dell,Dell,Computers,Accessories,2024-02-29,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.77,Positive
Chairs Samsung,Samsung,Furniture,Chairs,2024-07-26,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.24,Negative
Earphones Dell,Dell,Audio,Earphones,2024-10-21,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.97,Positive
Gaming ASUS,ASUS,Computers,Gaming,2024-01-22,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.08,Negative
Accessories HP,HP,Computers,Accessories,2024-07-04,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.84,Positive
Microphones LG,LG,Audio,Microphones,2024-04-24,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.05,Negative
Beds HP,HP,Furniture,Beds,2024-10-29,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.27,Negative
Cleaning HP,HP,Appliances,Cleaning,2024-01-13,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.42,Neutral
Tables Samsung,Samsung,Furniture,Tables,2024-07-08,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.8,Positive
Tables Bose,Bose,Furniture,Tables,2024-06-19,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.91,Positive
Earphones Sony,Sony,Audio,Earphones,2024-01-20,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.67,Neutral
Laptops ASUS,ASUS,Computers,Laptops,2024-02-22,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.07,Negative
Smart Devices Dell,Dell,Electronics,Smart Devices,2024-06-01,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.64,Neutral
Cameras ASUS,ASUS,Electronics,Cameras,2024-08-24,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.83,Positive
Speakers Samsung,Samsung,Audio,Speakers,2024-05-31,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.65,Neutral
Speakers Apple,Apple,Audio,Speakers,2024-05-26,It's fine.,It's okay,Neutral,It's fine. It's okay,0.41,Neutral
Beds ASUS,ASUS,Furniture,Beds,2024-11-08,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.56,Neutral
Gaming Sony,Sony,Computers,Gaming,2024-11-24,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.53,Neutral
Beds ASUS,ASUS,Furniture,Beds,2024-11-13,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.49,Neutral
Cleaning ASUS,ASUS,Appliances,Cleaning,2024-09-23,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.35,Negative
Cameras Bose,Bose,Electronics,Cameras,2024-05-09,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.93,Positive
Phones ASUS,ASUS,Electronics,Phones,2024-06-18,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.86,Positive
Laptops ASUS,ASUS,Computers,Laptops,2024-08-09,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.83,Positive
Gaming Sony,Sony,Computers,Gaming,2024-08-19,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.52,Neutral
Speakers Samsung,Samsung,Audio,Speakers,2024-09-09,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.83,Positive
Microphones Bose,Bose,Audio,Microphones,2024-08-30,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.23,Negative
Chairs Samsung,Samsung,Furniture,Chairs,2024-06-08,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.99,Positive
Kitchen Sony,Sony,Appliances,Kitchen,2024-02-04,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.4,Neutral
Beds Dell,Dell,Furniture,Beds,2024-03-24,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.76,Positive
Phones ASUS,ASUS,Electronics,Phones,2024-03-31,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.25,Negative
Beds Amazon,Amazon,Furniture,Beds,2024-06-20,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.11,Negative
Kitchen Amazon,Amazon,Appliances,Kitchen,2024-05-07,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.92,Positive
Laptops Bose,Bose,Computers,Laptops,2024-07-30,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.98,Positive
Laundry LG,LG,Appliances,Laundry,2024-06-14,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.21,Negative
Laundry Dell,Dell,Appliances,Laundry,2024-01-12,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.94,Positive
Tables Amazon,Amazon,Furniture,Tables,2024-03-19,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.01,Negative
Earphones LG,LG,Audio,Earphones,2024-09-28,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.25,Negative
Tables HP,HP,Furniture,Tables,2024-04-09,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.77,Positive
Microphones Samsung,Samsung,Audio,Microphones,2024-07-24,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.03,Negative
Gaming Sony,Sony,Computers,Gaming,2024-10-27,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.23,Negative
Earphones Bose,Bose,Audio,Earphones,2024-05-07,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.31,Negative
Phones LG,LG,Electronics,Phones,2024-02-23,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.96,Positive
Laptops Bose,Bose,Computers,Laptops,2024-09-24,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.05,Negative
Chairs Samsung,Samsung,Furniture,Chairs,2024-03-03,It's fine.,Average,Neutral,It's fine. Average,0.48,Neutral
Tables Amazon,Amazon,Furniture,Tables,2024-04-10,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.23,Negative
Phones Samsung,Samsung,Electronics,Phones,2024-06-11,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.25,Negative
Cameras HP,HP,Electronics,Cameras,2024-02-23,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.94,Positive
Accessories ASUS,ASUS,Computers,Accessories,2024-09-14,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.01,Negative
Beds Dell,Dell,Furniture,Beds,2024-01-06,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.0,Negative
Chairs HP,HP,Furniture,Chairs,2024-04-12,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.36,Negative
Accessories Sony,Sony,Computers,Accessories,2024-05-30,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.82,Positive
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-01-11,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.63,Neutral
Speakers Sony,Sony,Audio,Speakers,2024-02-11,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.84,Positive
Gaming Apple,Apple,Computers,Gaming,2024-09-20,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.84,Positive
Beds Dell,Dell,Furniture,Beds,2024-09-24,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.01,Negative
Cameras LG,LG,Electronics,Cameras,2024-10-22,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.73,Positive
Smart Devices LG,LG,Electronics,Smart Devices,2024-04-08,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.82,Positive
Phones LG,LG,Electronics,Phones,2024-03-29,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.52,Neutral
Microphones Bose,Bose,Audio,Microphones,2024-08-03,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.61,Neutral
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-01-08,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.55,Neutral
Laundry Samsung,Samsung,Appliances,Laundry,2024-01-02,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.11,Negative
Smart Devices Dell,Dell,Electronics,Smart Devices,2024-10-05,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.22,Negative
Accessories Apple,Apple,Computers,Accessories,2024-11-17,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.18,Negative
Microphones ASUS,ASUS,Audio,Microphones,2024-07-27,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.82,Positive
Speakers Amazon,Amazon,Audio,Speakers,2024-03-11,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.36,Negative
Cleaning ASUS,ASUS,Appliances,Cleaning,2024-02-28,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.17,Negative
Beds HP,HP,Furniture,Beds,2024-01-22,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.74,Positive
Cameras Samsung,Samsung,Electronics,Cameras,2024-09-11,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.88,Positive
Earphones HP,HP,Audio,Earphones,2024-09-17,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.42,Neutral
Cleaning Samsung,Samsung,Appliances,Cleaning,2024-02-29,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.22,Negative
Cameras Apple,Apple,Electronics,Cameras,2024-06-13,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.9,Positive
Kitchen Dell,Dell,Appliances,Kitchen,2024-11-22,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.71,Positive
Tables Bose,Bose,Furniture,Tables,2024-08-15,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.53,Neutral
Microphones Dell,Dell,Audio,Microphones,2024-03-20,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.15,Negative
Earphones Sony,Sony,Audio,Earphones,2024-07-10,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.24,Negative
Tables Samsung,Samsung,Furniture,Tables,2024-07-05,It's fine.,It's okay,Neutral,It's fine. It's okay,0.55,Neutral
Laptops ASUS,ASUS,Computers,Laptops,2024-05-16,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.17,Negative
Smart Devices HP,HP,Electronics,Smart Devices,2024-11-03,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.66,Neutral
Cameras Dell,Dell,Electronics,Cameras,2024-07-04,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.61,Neutral
Microphones Apple,Apple,Audio,Microphones,2024-06-24,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.07,Negative
Cleaning Bose,Bose,Appliances,Cleaning,2024-08-20,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.63,Neutral
Earphones Sony,Sony,Audio,Earphones,2024-04-20,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.86,Positive
Cameras Bose,Bose,Electronics,Cameras,2024-03-02,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,1.0,Positive
Tables Amazon,Amazon,Furniture,Tables,2024-03-03,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.74,Positive
Cleaning ASUS,ASUS,Appliances,Cleaning,2024-05-22,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.42,Neutral
Accessories Bose,Bose,Computers,Accessories,2024-03-30,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.63,Neutral
Smart Devices Bose,Bose,Electronics,Smart Devices,2024-04-12,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.5,Neutral
Cleaning HP,HP,Appliances,Cleaning,2024-07-24,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.6,Neutral
Earphones Samsung,Samsung,Audio,Earphones,2024-07-19,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.35,Negative
Kitchen Bose,Bose,Appliances,Kitchen,2024-08-24,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.94,Positive
Earphones ASUS,ASUS,Audio,Earphones,2024-11-21,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.83,Positive
Cameras Dell,Dell,Electronics,Cameras,2024-06-11,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.29,Negative
Earphones HP,HP,Audio,Earphones,2024-10-03,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.54,Neutral
Accessories Apple,Apple,Computers,Accessories,2024-08-14,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.94,Positive
Kitchen Sony,Sony,Appliances,Kitchen,2024-03-07,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.88,Positive
Microphones Amazon,Amazon,Audio,Microphones,2024-08-08,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.95,Positive
Gaming Amazon,Amazon,Computers,Gaming,2024-06-14,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.81,Positive
Speakers HP,HP,Audio,Speakers,2024-09-01,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.51,Neutral
Chairs HP,HP,Furniture,Chairs,2024-02-14,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.91,Positive
Beds Sony,Sony,Furniture,Beds,2024-07-09,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.23,Negative
Microphones Amazon,Amazon,Audio,Microphones,2024-09-03,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.81,Positive
Cameras Bose,Bose,Electronics,Cameras,2024-02-03,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.06,Negative
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-04-01,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.09,Negative
Kitchen Dell,Dell,Appliances,Kitchen,2024-06-25,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.84,Positive
Laundry LG,LG,Appliances,Laundry,2024-08-19,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.56,Neutral
Speakers HP,HP,Audio,Speakers,2024-07-15,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.38,Negative
Earphones HP,HP,Audio,Earphones,2024-05-13,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.2,Negative
Accessories LG,LG,Computers,Accessories,2024-03-02,It's fine.,It's okay,Neutral,It's fine. It's okay,0.56,Neutral
Earphones HP,HP,Audio,Earphones,2024-10-31,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.92,Positive
Chairs Amazon,Amazon,Furniture,Chairs,2024-02-14,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.93,Positive
Phones ASUS,ASUS,Electronics,Phones,2024-09-21,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.64,Neutral
Microphones Amazon,Amazon,Audio,Microphones,2024-04-05,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.96,Positive
Laundry ASUS,ASUS,Appliances,Laundry,2024-06-21,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.39,Negative
Accessories Amazon,Amazon,Computers,Accessories,2024-03-08,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.27,Negative
Speakers HP,HP,Audio,Speakers,2024-06-26,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.63,Neutral
Cameras HP,HP,Electronics,Cameras,2024-01-07,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.58,Neutral
Chairs Amazon,Amazon,Furniture,Chairs,2024-08-20,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.33,Negative
Earphones LG,LG,Audio,Earphones,2024-02-24,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.15,Negative
Microphones LG,LG,Audio,Microphones,2024-11-16,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.5,Neutral
Tables Samsung,Samsung,Furniture,Tables,2024-08-26,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.97,Positive
Phones Sony,Sony,Electronics,Phones,2024-02-23,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.73,Positive
Smart Devices Apple,Apple,Electronics,Smart Devices,2024-09-28,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.9,Positive
Smart Devices Dell,Dell,Electronics,Smart Devices,2024-11-10,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.55,Neutral
Laptops Bose,Bose,Computers,Laptops,2024-02-07,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.66,Neutral
